key, motion, time
h, hl1, 1625
i, vb1, 1195
y, hl1, 1449
y, hr2, 1023
o, vb1, 1041
u, dd1, 1619
w, vt1, 993
w, vb2, 689
n, hr1, 1894
o, vb1, 1030
y, hl1, 1287
y, hr2, 848
o, vb1, 904
u, dd1, 1332
r, vt1, 777
c, hl1, 1055
c, vb2, 1044
k, hr1, 1144
k, hl2, 936
h, hl1, 1586
c, hl1, 833
c, vb2, 801
o, vb1, 910
l, dc1, 1316
l, dc1, 1075
p, vb1, 1149
p, vt2, 1067
s, hl1, 1016
o, vb1, 958
f, vb1, 1224
f, vt2, 823
h, hl1, 1195
r, vt1, 856
o, vb1, 1121
m, hr1, 850
m, vb2, 445
n, hr1, 558
m, hr1, 776
m, vb2, 862
p, vb1, 976
p, vt2, 844
i, vb1, 870
r, vt1, 863
n, hr1, 354
n, hr1, 343
l, dc1, 1732
r, vt1, 773
g, vb1, 1619
g, hl2, 822
d, da1, 2187
n, hr1, 380
o, vb1, 812
s, hl1, 1227
s, hl1, 670
u, dd1, 1123
g, vb1, 1728
g, hl2, 844
g, vb1, 459
g, hl2, 400
s, hl1, 1297
d, da1, 1662
s, hl1, 640
y, hl1, 1115
y, hr2, 867
o, vb1, 847
u, dd1, 1172
r, vt1, 1795
l, dc1, 897
i, vb1, 1220
r, vt1, 778
h, hl1, 1198
s, hl1, 1000
u, dd1, 1129
n, hr1, 439
r, vt1, 734
i, vb1, 975
s, hl1, 1538
s, hl1, 646
i, vb1, 937
n, hr1, 672
h, hl1, 1062
s, hl1, 920
g, vb1, 1837
g, hl2, 867
o, vb1, 1181
o, vb1, 902
d, da1, 1847
d, da1, 1587
d, da1, 610
i, vb1, 1237
i, vb1, 836
o, vb1, 861
n, hr1, 611
n, hr1, 733
d, da1, 1618
s, hl1, 833
u, dd1, 1244
b, hl1, 1041
b, hr2, 756
r, vt1, 793
c, hl1, 864
c, vb2, 822
i, vb1, 561
o, vb1, 973
n, hr1, 525
l, dc1, 1299
i, vb1, 850
m, hr1, 826
m, vb2, 955
i, vb1, 654
d, da1, 2230
m, hr1, 667
m, vb2, 423
u, dd1, 1361
c, hl1, 930
c, vb2, 823
h, hl1, 1166
h, hl1, 572
i, vb1, 545
g, vb1, 1266
g, hl2, 734
r, vt1, 768
r, vt1, 555
i, vb1, 992
s, hl1, 1107
k, hr1, 1134
k, hl2, 645
o, vb1, 941
f, vb1, 1080
f, vt2, 800
g, vb1, 1662
g, hl2, 1156
i, vb1, 635
n, hr1, 625
g, vb1, 2254
g, hl2, 759
h, hl1, 1423
i, vb1, 561
g, vb1, 1469
g, hl2, 645
