layout,WPM,CER,NER,numC,numIF,numF,numINF,numCancel,presented_str,input_str,timed_actions
1,9.712394435210927,0.0,0.8695652173913043,3,0,0,20,0,thank you for your help,to ,"[0.000000,t],[1.379700,o],[2.471069, ],[3.477386,done]"
1,7.738187543036499,0.1282051282051282,0.0,34,2,2,0,3,the protesters blocked all traffic,the protesters blocked all traffic,"[0.000000,cancel],[0.772003,t],[3.115906,h],[4.834167,cancel],[5.379852,e],[7.666016, ],[9.991516,p],[11.597534,r],[13.482422,o],[15.396881,t],[16.034119,e],[16.857330,s],[17.296173,t],[18.276581,e],[19.852905,r],[21.052460,s],[21.695984, ],[24.157043,b],[26.711884,l],[28.521637,o],[30.364349,c],[32.657990,cancel],[34.212311,k],[34.752655,e],[35.995850,d],[36.406799, ],[36.990631,a],[37.959808,l],[38.730713,l],[39.186798, ],[39.677460,t],[40.935394,r],[41.429688,e],[42.232666,del],[42.739288,a],[45.292633,f],[46.233429,f],[47.341614,i],[48.163666,c],[49.133484,del],[51.174774,c],[52.944397,done]"
1,7.306987927075162,0.13043478260869565,0.0,40,3,3,0,3,burglars never leave their business card,burglars never leave their business card,"[0.000031,b],[2.295807,u],[3.504608,r],[6.056274,g],[8.716614,l],[9.314911,a],[11.053650,r],[12.511719,s],[12.985046, ],[14.506744,n],[15.136627,e],[17.331573,v],[17.803925,f],[19.466736,del],[19.901672,e],[21.251190,r],[22.499298,s],[23.917938,del],[24.552002, ],[26.299530,l],[26.850372,e],[27.579132,a],[29.666901,v],[30.427277,e],[31.085937, ],[32.647614,t],[34.827850,h],[35.930023,e],[37.737335,i],[38.810272,r],[39.236420, ],[41.487701,b],[43.705322,u],[46.981323,s],[49.758423,cancel],[50.528961,d],[51.974304,del],[53.231567,i],[54.573029,cancel],[55.521790,n],[56.057526,e],[56.777161,s],[57.362274,s],[57.807007, ],[59.500946,c],[59.827057,a],[61.460938,cancel],[62.403778,r],[64.048279,d],[65.712067,done]"
1,8.209726167099976,0.1875,0.0,26,0,0,0,6,just in time for the party,just in time for the party,"[0.000000,cancel],[1.453674,j],[3.648438,u],[5.293579,s],[5.777100,t],[6.349152, ],[7.314392,i],[8.494385,cancel],[9.517303,n],[10.646484, ],[11.476562,t],[12.522430,cancel],[13.541260,i],[14.720734,m],[15.246216,e],[15.857574, ],[17.076569,cancel],[18.648682,f],[20.321960,o],[22.103302,r],[22.501526, ],[23.060913,t],[24.731781,h],[25.491791,e],[26.022827, ],[27.093445,cancel],[29.368896,cancel],[31.010193,p],[31.313232,a],[32.633148,r],[34.444000,t],[36.542023,y],[38.335815,done]"
1,10.705459825344077,0.07407407407407407,0.0,25,0,0,0,2,the kids are very excited,the kids are very excited,"[0.000000,cancel],[0.662140,t],[3.336212,h],[3.840088,e],[4.468018, ],[6.130310,cancel],[7.877472,k],[8.951050,i],[9.916748,d],[11.074097,s],[11.619232, ],[12.205261,a],[13.117188,r],[13.390503,e],[13.935181, ],[15.783722,v],[16.096954,e],[16.993378,r],[18.361145,y],[18.783752, ],[19.400848,e],[21.926147,x],[23.643188,c],[24.572571,i],[25.167480,t],[25.701202,e],[26.902161,d],[28.094147,done]"
1,8.926845684262403,0.10256410256410256,0.0,35,2,2,0,2,rectangular objects have four sides,rectangular objects have four sides,"[0.000031,r],[0.518585,e],[1.744629,c],[2.248840,t],[2.805664,a],[4.398682,n],[6.950226,g],[9.488068,u],[10.642120,l],[11.227875,a],[12.401062,r],[12.928986, ],[14.333984,o],[16.057831,b],[17.871277,j],[18.352051,e],[20.039429,c],[20.597321,t],[21.725555,s],[22.180389, ],[24.674561,h],[25.131683,a],[27.014069,v],[27.318573,e],[27.866821, ],[30.258270,f],[31.312744,o],[32.839111,u],[33.514221,r],[33.952240, ],[35.192108,s],[36.183044,i],[37.151459,d],[38.372070,cancel],[38.746338,t],[40.086212,del],[40.462067,e],[42.669312,cancel],[43.496979,s],[44.316345, ],[45.704834,del],[46.685028,done]"
1,11.024295657377047,0.058823529411764705,0.0,32,0,0,0,2,an occasional taste of chocolate,an occasional taste of chocolate,"[0.000000,a],[1.289337,n],[1.902161, ],[4.099579,o],[5.227081,c],[6.307739,c],[6.846741,a],[7.939819,s],[9.312714,i],[10.810120,o],[11.533203,n],[12.005432,a],[13.306763,l],[13.836487, ],[14.344391,t],[14.837494,a],[15.562653,s],[15.906525,t],[16.339783,e],[16.796875, ],[18.255310,o],[20.064484,f],[20.475677, ],[22.486450,c],[24.645874,cancel],[26.125854,h],[27.230408,o],[29.200134,cancel],[30.299896,c],[31.406769,o],[32.494995,l],[32.963745,a],[33.371124,t],[33.743652,e],[34.718536,done]"
1,10.066669304359422,0.05555555555555555,0.0,34,1,1,0,1,the protesters blocked all traffic,the protesters blocked all traffic,"[0.000000,t],[1.587494,h],[1.934387,e],[2.524933, ],[5.475433,p],[6.377411,r],[8.188446,o],[8.869232,t],[9.365936,e],[10.123047,s],[10.506195,t],[11.032898,e],[12.024750,r],[13.462891,s],[13.798981, ],[16.035858,b],[17.766815,l],[18.900726,o],[20.788605,cancel],[21.813721,c],[24.015411,k],[24.474701,e],[25.773834,d],[26.208923, ],[26.918274,a],[27.534760,w],[28.633942,del],[29.689850,l],[32.001373,l],[32.556244, ],[33.071686,t],[34.222565,r],[34.722382,a],[36.620575,f],[37.560608,f],[38.460449,i],[39.337738,c],[40.730072,done]"
1,9.931348735100798,0.11764705882352941,0.0,30,1,1,0,3,i can still feel your presence,i can still feel your presence,"[0.000000,i],[1.597321,cancel],[2.818024, ],[4.855225,c],[5.223236,a],[6.553833,cancel],[7.233612,n],[7.748047, ],[9.553833,s],[10.007843, ],[11.510681,del],[11.877563,t],[13.468170,i],[14.745270,l],[15.646332,l],[16.019928, ],[17.407898,cancel],[18.854187,f],[19.762604,e],[20.189453,e],[21.031036,l],[21.259888, ],[22.992981,y],[24.340332,o],[26.519287,u],[27.266022,r],[27.744019, ],[30.016968,p],[31.009003,r],[31.423187,e],[32.334839,s],[32.801178,e],[33.622620,n],[34.655426,c],[35.040558,e],[36.283752,done]"
1,11.07574541235858,0.07894736842105263,0.0,35,1,1,0,2,granite is the hardest of all rocks,granite is the hardest of all rocks,"[0.000031,g],[1.160522,r],[1.614532,a],[2.406921,n],[3.366608,i],[3.899963,t],[4.312286,e],[4.795959, ],[5.726959,i],[7.017731,s],[7.642303, ],[8.127563,t],[9.613708,h],[9.930817,e],[10.423615, ],[12.057129,r],[13.481445,del],[14.924805,h],[15.339844,a],[16.630493,r],[17.840698,d],[18.373993,e],[19.173248,s],[19.476074,t],[19.955353, ],[21.929962,cancel],[22.779877,o],[25.389343,f],[25.777557, ],[26.288757,a],[27.627258,l],[28.422058,l],[28.940765, ],[29.950470,r],[30.624542,o],[31.562012,c],[33.315338,cancel],[35.031830,k],[36.837250,s],[38.234314,done]"
1,13.1863455447514,0.05714285714285714,0.0,33,0,0,0,2,electric cars need big fuel cells,electric cars need big fuel cells,"[0.000031,e],[1.005249,l],[1.484863,e],[2.557129,cancel],[3.527466,c],[3.968994,t],[4.950958,r],[5.632233,i],[6.633301,c],[7.085571, ],[8.584656,cancel],[9.416504,c],[9.666168,a],[10.536652,r],[11.254913,s],[11.712616, ],[12.508392,n],[12.856598,e],[13.189972,e],[14.197113,d],[14.544586, ],[15.852722,b],[17.859009,i],[19.811157,g],[20.234802, ],[21.880524,f],[23.175140,u],[23.634521,e],[24.680573,l],[24.990479, ],[26.136810,c],[26.555725,e],[27.804871,l],[28.526550,l],[29.121033,s],[30.159058,done]"
1,9.339779440601308,0.13793103448275862,0.0,25,3,3,0,1,if you were not so stupid,if you were not so stupid,"[0.000031,i],[1.531006,f],[1.935547, ],[3.183563,y],[4.471344,o],[6.450867,u],[6.787842, ],[8.773254,w],[9.293243,e],[10.484741,cancel],[11.289246,v],[11.946289,a],[13.169525,del],[13.756042,del],[14.749420,r],[15.118988,e],[15.589264, ],[16.727386,n],[18.008575,o],[18.463501,t],[18.863007, ],[19.984833,s],[20.788177,o],[21.156738, ],[22.049438,o],[22.815857,del],[23.913330,s],[24.486938,t],[26.676483,u],[28.601166,p],[29.925507,i],[30.835846,d],[31.999176,done]"
1,7.368325277724843,0.2962962962962963,0.0,19,2,2,0,6,peek out the window,peek out the window,"[0.000000,a],[1.090424,del],[3.038055,p],[3.543488,e],[3.920441,e],[5.740784,k],[6.146301, ],[7.216736,o],[10.045746,cancel],[11.805481,cancel],[12.135071,e],[13.220917,del],[14.418335,cancel],[15.661133,u],[16.061127,t],[16.510895, ],[16.883331,t],[18.247437,cancel],[19.368195,h],[19.741364,e],[20.141144, ],[21.286377,cancel],[23.169037,w],[24.175934,i],[24.906647,n],[25.997223,d],[26.965179,cancel],[27.755768,o],[29.314667,w],[30.601288,done]"
1,9.424801904723353,0.125,0.0,28,3,3,0,1,we must redouble our efforts,we must redouble our efforts,"[0.000031,w],[0.589905,e],[1.023834, ],[2.271179,m],[4.225586,u],[5.356689,s],[6.771423,e],[7.935974,del],[8.244781,e],[9.239471,del],[9.477753,t],[9.982452, ],[11.830322,r],[12.837524,e],[14.554993,c],[15.702179,del],[17.029297,d],[19.044403,o],[20.941956,u],[22.516571,b],[23.466766,l],[23.867218,e],[24.313904, ],[25.446228,cancel],[26.198608,o],[27.590118,u],[28.417145,r],[28.779053, ],[29.202637,e],[30.574585,f],[31.353912,f],[32.377289,o],[33.405090,r],[33.821625,t],[34.377380,s],[35.959900,done]"
