Method,Person,Block,layout,WPM,CER,UER,numC,numIF,numF,numINF,numCancel,presented_str,input_str,timed_actions,layout
4KWatchWrite,1,5,3,5.128423938,0.170731707,0,34,4,4,0,3,my car always breaks in the winter,my car always breaks in the winter,"[0.000000,m],[2.789856,y],[3.409760, ],[6.433105,c],[7.051086,a],[9.817230,r],[10.842651, ],[11.568939,a],[12.933777,l],[15.679901,w],[16.301666,a],[18.417358,y],[20.330933,s],[21.087769, ],[22.701691,h],[24.341064,r],[24.935455,e],[25.646790, ],[26.961212,del],[27.692596,del],[28.477112,del],[29.298584,del],[32.230011,b],[34.738007,r],[35.641571,e],[37.649994,a],[40.175079,cancel],[43.797333,k],[46.024017,s],[46.835541, ],[48.284088,i],[54.911407,cancel],[57.197510,n],[58.851837, ],[59.491974,t],[61.729218,h],[63.000549,e],[63.596039, ],[66.153076,w],[67.350159,i],[70.395630,n],[71.335541,t],[71.835541,e],[75.659302,cancel],[77.216705,r],[79.562469,done]",5.611567136
4KWatchWrite,1,5,3,5.773749012,0.032258065,0,30,1,1,0,0,file all complaints in writing,file all complaints in writing,"[0.000031,f],[1.618866,i],[3.182831,l],[3.941498,e],[4.432831, ],[5.008453,a],[6.433350,l],[7.705566,l],[10.060486,h],[12.499084,del],[13.597443, ],[16.657013,c],[19.315613,o],[21.835480,m],[24.915314,p],[26.238922,l],[27.378906,a],[29.586121,i],[31.672058,n],[32.521790,t],[34.286774,s],[35.159973, ],[36.567566,i],[39.572632,n],[41.106354, ],[45.477570,w],[48.630432,r],[50.651306,i],[53.491821,t],[55.450409,i],[57.187378,n],[60.272797,g],[62.000061,done]",2.335187189
4KWatchWrite,1,5,3,5.633891679,0.04,0,24,1,1,0,0,protect your environment,protect your environment,"[0.000031,p],[2.271576,r],[4.554108,o],[5.350250,t],[5.866669,e],[8.215179,h],[10.268311,del],[12.803009,c],[13.947174,t],[15.014618, ],[18.256958,y],[20.475098,o],[23.471558,u],[25.147949,r],[25.909424, ],[26.583160,e],[28.874451,n],[34.831787,v],[37.176117,i],[39.160522,r],[40.877197,o],[42.623260,n],[45.727844,m],[46.542358,e],[48.095306,n],[48.989227,t],[50.519684,done]",1.687515045
4KWatchWrite,1,5,3,5.105433016,0.130434783,0,40,3,3,0,3,a good stimulus deserves a good response,a good stimulus deserves a good response,"[0.000000,a],[0.840302, ],[3.577667,g],[5.530914,o],[6.747528,o],[9.249054,d],[10.637390, ],[12.880676,s],[13.633514,t],[15.071777,i],[17.087463,m],[19.880463,u],[21.196838,l],[22.931458,u],[25.253204,s],[28.311401, ],[32.463379,d],[33.602692,e],[36.634583,s],[38.844147,e],[41.272949,r],[44.502350,v],[45.219727,e],[47.369568,s],[47.386780,cancel],[48.154480, ],[48.884094,a],[50.016083, ],[50.504456,a],[51.483643, ],[52.832886, ],[54.663574,del],[55.915466,del],[57.610626,del],[61.652771,g],[63.574524,o],[65.220673,o],[68.376953,d],[69.037781, ],[71.347046,r],[76.636475,cancel],[77.365936,cancel],[78.881622,e],[82.001740,s],[85.511139,p],[87.280731,o],[88.849487,n],[90.820831,s],[91.667053,e],[94.250610,done]",5.811443482
4KWatchWrite,1,5,3,5.973876486,0.03125,0.03125,30,1,1,1,0,players must know all the rules,players mst know all the rules,"[0.000000,p],[1.710510,l],[2.652313,a],[5.543732,y],[6.386963,e],[10.193634,r],[12.487671,s],[13.300781, ],[15.803741,m],[19.033661,s],[20.083130,t],[21.050476, ],[24.057343,k],[25.660004,n],[27.308777,o],[30.373993,w],[30.977203, ],[31.639832,a],[33.645874,l],[35.200165,l],[36.110168,t],[37.849701,del],[38.473816, ],[40.721710,t],[44.151703,h],[44.892792,e],[45.704651, ],[50.285919,r],[52.627716,u],[54.614166,l],[55.482758,e],[58.253632,s],[59.621613,done]",2.669426877
4KWatchWrite,1,6,3,5.735938835,0.058823529,0,32,1,1,0,1,the plug does not fit the socket,the plug does not fit the socket,"[0.000000,t],[2.656860,h],[3.692322,e],[4.893524, ],[8.265472,p],[9.666443,l],[11.718262,u],[14.815948,i],[16.830139,del],[19.356476,g],[20.301361, ],[22.708374,d],[24.263336,o],[24.855835,e],[26.590485,s],[27.511749, ],[29.133820,n],[31.162018,o],[33.042084,t],[33.852631, ],[35.948181,f],[37.695648,i],[39.961761,t],[40.823608, ],[41.438538,t],[45.907013,cancel],[48.862823,h],[49.715424,e],[50.253357, ],[52.821533,s],[55.079315,o],[59.408508,c],[63.144348,k],[63.816284,e],[64.854248,t],[66.424744,done]",3.00562941
4KWatchWrite,1,6,3,5.36845487,0.029411765,0.029411765,32,0,0,1,1,my favourite sport is racketball,my favourite sports is racketball,"[0.000000,m],[3.088287,y],[3.701660, ],[7.756531,f],[8.395477,a],[14.664154,v],[16.402527,o],[18.124023,u],[20.898407,r],[22.231171,i],[24.864594,cancel],[26.417175,t],[28.903839,e],[30.050171, ],[32.207367,s],[35.847351,p],[37.329407,o],[39.370819,r],[41.041016,t],[42.825256,s],[43.631592, ],[45.634552,i],[47.654236,s],[48.600800, ],[54.123291,r],[55.053284,a],[58.649597,c],[62.023285,k],[63.229645,e],[64.741394,t],[67.640839,b],[68.512390,a],[70.107849,l],[71.528961,l],[73.176514,done]",2.948008719
4KWatchWrite,1,6,3,7.886781554,0,0,26,0,0,0,0,where did you get that tie,where did you get that tie,"[0.000000,w],[4.355316,h],[5.499878,e],[8.417206,r],[9.290955,e],[9.970398, ],[12.125092,d],[13.978363,i],[15.665009,d],[16.432587, ],[18.959747,y],[20.486267,o],[22.315277,u],[22.970123, ],[26.236725,g],[26.931641,e],[28.716370,t],[29.358398, ],[29.953796,t],[32.489288,h],[33.505371,a],[34.674713,t],[35.275238, ],[35.891388,t],[37.283783,i],[38.038330,e],[39.722839,done]",1.126835895
4KWatchWrite,1,6,3,7.556806553,0.033333333,0,29,0,0,0,1,lie detector tests never work,lie detector tests never work,"[0.000000,l],[1.790222,i],[2.309021,e],[3.096710, ],[5.121857,d],[6.112671,e],[6.861420,t],[8.482697,e],[11.132568,c],[12.280334,t],[14.443512,o],[16.669434,r],[17.859009, ],[18.484375,t],[19.413849,e],[21.015533,s],[21.634216,t],[22.850281,s],[23.760590, ],[25.197021,n],[25.791992,e],[28.645294,v],[29.228149,e],[31.554443,r],[32.302338, ],[35.180511,cancel],[37.352600,w],[38.935822,o],[41.174713,r],[44.463226,k],[46.140350,done]",1.948591683
4KWatchWrite,1,6,3,5.882034994,0.060606061,0,31,1,1,0,1,an excellent way to communicate,an excellent way to communicate,"[0.000000,a],[2.832153,n],[3.707977, ],[4.408112,e],[7.373657,x],[11.496948,c],[12.287628,e],[13.793793,l],[15.206238,l],[15.770996,e],[18.100494,n],[19.229584,t],[19.744568, ],[22.195709,w],[22.817932,a],[26.217560,y],[26.805023, ],[27.348297,t],[28.818756,o],[30.078003, ],[33.183716,c],[35.863647,o],[38.938873,i],[41.328522,del],[43.580170,m],[45.315186,m],[48.449097,u],[52.053314,cancel],[54.079742,n],[55.462189,i],[58.745209,c],[59.486298,a],[60.535370,t],[61.203308,e],[63.417053,done]",2.874128136
4KWatchWrite,2,1,3,5.895516482,0,0,29,0,0,0,0,a big scratch on the tabletop,a big scratch on the tabletop,"[0.000031,a],[1.254791, ],[3.556793,b],[5.403595,i],[8.092102,g],[8.774658, ],[11.740875,s],[13.904114,c],[16.802673,r],[17.824982,a],[20.924255,t],[23.492371,c],[26.821686,h],[27.862213, ],[30.547394,o],[32.746277,n],[34.238190, ],[35.456055,t],[38.257721,h],[40.343353,e],[41.567871, ],[42.183258,t],[42.996216,a],[45.727356,b],[48.863068,l],[51.347290,e],[52.114868,t],[54.249146,o],[56.992462,p],[58.487610,done]",
4KWatchWrite,2,1,3,5.000761643,0.125,0,28,3,3,0,1,healthy food is good for you,healthy food is good for you,"[0.000031,h],[1.146332,e],[2.023376,a],[5.537567,l],[6.620056,t],[9.726105,h],[12.457123,y],[13.663300, ],[15.569031,i],[18.063446,o],[19.430695,o],[21.111267,del],[22.066193,del],[23.019745,del],[25.329407,f],[26.541077,o],[27.713867,o],[31.002533,d],[31.903503, ],[33.644135,i],[36.059937,cancel],[37.533661,s],[38.452484, ],[42.538757,g],[43.901581,o],[45.315918,o],[48.198425,d],[49.059845, ],[52.990051,f],[54.501038,o],[56.403076,r],[58.646942, ],[61.193878,y],[62.877197,o],[64.790131,u],[66.655640,done]",
4KWatchWrite,2,1,3,5.843103963,0.04,0,24,0,0,0,1,wishful thinking is fine,wishful thinking is fine,"[0.000000,w],[1.326385,i],[3.723816,s],[6.703247,h],[9.608490,f],[11.914093,u],[13.948212,l],[14.700592, ],[15.508209,t],[18.728333,cancel],[20.444885,h],[21.793213,i],[23.949768,n],[26.794739,k],[27.973755,i],[30.425690,n],[33.566986,g],[34.290192, ],[35.296600,i],[38.929047,s],[40.084991, ],[43.001892,f],[44.130035,i],[46.005188,n],[47.235168,e],[49.395538,done]",
